ID;Französisch;Deutsch;Kategorie;Status
1;le, la, les;der, die, das;Artikel;Neu
2;un, une, des;ein, eine;Artikel;Neu
3;je;ich;Pronomen;Neu
4;tu;du;Pronomen;Neu
5;il;er;Pronomen;Neu
6;elle;sie (Sg.);Pronomen;Neu
7;on;man, wir;Pronomen;Neu
8;nous;wir;Pronomen;Neu
9;vous;ihr, Sie;Pronomen;Neu
10;ils;sie (m. Pl.);Pronomen;Neu
11;elles;sie (f. Pl.);Pronomen;Neu
12;me;mich, mir;Pronomen;Neu
13;te;dich, dir;Pronomen;Neu
14;se;sich;Pronomen;Neu
15;lui;ihm, ihr;Pronomen;Neu
16;leur;ihnen;Pronomen;Neu
17;y;dorthin, daran;Pronomen;Neu
18;en;davon, daraus;Pronomen;Neu
19;qui;wer, der/die/das;Pronomen;Neu
20;que;dass, was;Pronomen;Neu
21;quoi;was;Pronomen;Neu
22;dont;dessen, deren;Pronomen;Neu
23;où;wo, wohin;Pronomen;Neu
24;ce, cet, cette;dieser, diese, dieses;Pronomen;Neu
25;mon, ma, mes;mein, meine;Pronomen;Neu
26;ton, ta, tes;dein, deine;Pronomen;Neu
27;son, sa, ses;sein/ihr, seine/ihre;Pronomen;Neu
28;notre, nos;unser, unsere;Pronomen;Neu
29;votre, vos;euer/Ihr, eure/Ihre;Pronomen;Neu
30;leur, leurs;ihr, ihre;Pronomen;Neu
31;être;sein;Verb;Neu
32;avoir;haben;Verb;Neu
33;faire;machen, tun;Verb;Neu
34;dire;sagen;Verb;Neu
35;pouvoir;können;Verb;Neu
36;aller;gehen;Verb;Neu
37;voir;sehen;Verb;Neu
38;vouloir;wollen;Verb;Neu
39;venir;kommen;Verb;Neu
40;devoir;müssen, sollen;Verb;Neu
41;prendre;nehmen;Verb;Neu
42;trouver;finden;Verb;Neu
43;donner;geben;Verb;Neu
44;falloir;nötig sein, müssen;Verb;Neu
45;parler;sprechen;Verb;Neu
46;mettre;setzen, legen, stellen;Verb;Neu
47;savoir;wissen;Verb;Neu
48;passer;verbringen, vergehen;Verb;Neu
49;regarder;schauen, betrachten;Verb;Neu
50;aimer;lieben, mögen;Verb;Neu
51;croire;glauben;Verb;Neu
52;demander;fragen, bitten;Verb;Neu
53;rester;bleiben;Verb;Neu
54;répondre;antworten;Verb;Neu
55;entendre;hören;Verb;Neu
56;penser;denken;Verb;Neu
57;arriver;ankommen, passieren;Verb;Neu
58;connaître;kennen;Verb;Neu
59;devenir;werden;Verb;Neu
60;sentir;fühlen, riechen;Verb;Neu
61;sembler;scheinen;Verb;Neu
62;tenir;halten;Verb;Neu
63;comprendre;verstehen;Verb;Neu
64;rendre;zurückgeben, machen zu;Verb;Neu
65;attendre;warten;Verb;Neu
66;sortir;hinausgehen;Verb;Neu
